SL,Name,Scope
131,"Journal of the Urban Planning and Development Division, ASCE","      The Journal of Urban Planning and Development covers the application of civil engineering to such aspects of urban planning as area-wide transportation, the coordination of planning and programming of public works and utilities, and the development and redevelopment of urban areas. Subjects include environmental assessment, esthetic considerations, land use planning, underground utilities, infrastructure management, renewal legislation, transportation planning, and evaluation of the economic value of state parks.        "
132,Advances in Civil Engineering Materials,"      The journal is published continuously in one annual issue online. Papers are published online as they are approved and edited. Special Issues may also be published on specific topics of interest to our readers.Advances in Civil Engineering Materials provides high-quality, papers on a broad range of topics relating to the properties and performance of civil engineering materials.Materials Covered: (but not limited to)Concrete,Asphalt,Steel,Polymers and polymeric composites,Wood,Other materials used in civil engineering applications (for example, pavements, bridges, and buildings, including nonstructural building elements such as insulation and roofing), and environmental systems (including water treatment).Core Topics Covered:Characterization, such as chemical composition, nanostructure, and microstructure,Physical properties, such as strength, stiffness, and fracture behavior,Constructability, such as construction methods, quality control/assurance, life cycle analysis, and sustainability,Durability.Papers may present experimental or modeling studies based on laboratory or field observations. Papers relating to sustainability of engineering materials or to the impact of materials on sustainability of engineering structures are especially encouraged.        "
133,Computational Particle Mechanics,"      GENERAL OBJECTIVES: Computational Particle Mechanics (CPM) is a quarterly journal with the goal of publishing full-length original articles addressing the modeling and simulation of systems involving particles and particle methods. The goal is to enhance communication among researchers in the applied sciences  who  use ""particles'' in one form or another in their research. SPECIFIC OBJECTIVES: Particle-based  materials and numerical methods have become wide-spread  in the natural and applied sciences, engineering, biology. The term ""particle methods/mechanics'' has now come to imply several different things to researchers in the 21st century, including:   (a) Particles as a physical unit in granular media, particulate ﬂows, plasmas, swarms, etc., (b) Particles representing material phases in continua at the meso-, micro-and nano-scale and    (c) Particles as a discretization unit in continua and discontinua in numerical methods such as Discrete Element Methods (DEM), Particle Finite Element Methods (PFEM), Molecular Dynamics (MD), and Smoothed Particle Hydrodynamics (SPH), to name a few.         "
134,"Facta Universitatis, Series: Mechanical Engineering","      Facta Universitatis, series Mechanical Engineeringis a peer-reviewed scientific journal that publishes theoretical and practice oriented papers, covering the whole spectrum of Mechanical Engineering:Material EngineeringStructural Design and OptimizationStructural AnalysisProduction EngineeringSolid MechanicsDynamics and VibrationAutomation and Control SystemsThermal and Fluids EngineeringTransport and LogisticsTechnology Management and ForecastingAlternative TechnologyModern multidisciplinary fields:MechatronicsCoupled-Field ProblemsActive/Adaptive StructuresMBS-FEM CouplingBiomechanics and Biomedical Engineering.        "
135,Proceedings of Institution of Civil Engineers: Waste and Resource Management,"      Waste and Resource Management publishes original research and practice papers on all civil engineering and construction related aspects of the resource management cycle, from the minimization of waste, through the re-use and recycling, to the management and disposal of residual wastes.Associated legislation, standards, socio-economic considerations and links with sustainable consumption and production are included. The range of subjects covered encompasses, but is not restricted to, strategies for reducing construction waste through better design, improved recovery and re-use, more efficient resource management, the performance of materials recovered from wastes, and, the procurement, planning, design, construction, operation and logistics of waste and resource management facilities.        "
136,Journal of Pipeline Systems Engineering and Practice,"      The Journal of Pipeline Systems Engineering and Practice is a professional, authoritative technical resource that reports on a broad range of topics pertaining to the planning, engineering, design, construction, renewal, safety, operation and maintenance, asset management, environmental aspects, and sustainability of pipeline systems.An important technical reference for researchers and practitioners from academia, industry, and government, it presents in-depth information on water distribution and transmission systems, wastewater collection systems (gravity and force mains), storm sewers and drainage structures/culverts, oil, gas, industrial, slurry, pneumatic and capsule pipelines, as well as conduit applications for power and communication cables.        "
137,Journal of Marine Science and Engineering,"      Journal of Marine Science and Engineering (JMSE; ISSN 2077-1312) is an international, peer-reviewed open access journal which provides an advanced forum for studies related to marine science and engineering. It publishes reviews, research papers and communications. Our aim is to encourage scientists to publish their experimental and theoretical results in as much detail as possible. There is no restriction on the length of the papers. The full experimental details must be provided so that the results can be reproduced. Electronic files and software regarding the full details of the calculation or experimental procedure, if unable to be published in a normal way, can be deposited as supplementary electronic material.Subject Areas:Marine biology,Marine biodiversity,Marine genomics,Marine ecology,Marine resources,Marine chemistry,Marine environment,Marine biotechnology,Biological oceanography,Chemical oceanography,Geological oceanography,Physical oceanography,Ocean engineering,Coastal engineering        "
138,International Journal of Geosynthetics and Ground Engineering,"      This journal presents the highest quality fundamental and applied research on all aspects of geosynthetics and their applications, and a variety of ground improvement techniques to reinforce and densify grounds, soils and rocks. The ground engineering aspects that involve scientific principles of geophysics, geochemistry and geomechanics for providing new solutions to practical problems are also considered. The aim is to provide access to rigorously refereed, original and innovative papers across the journal subject fields applied to core civil engineering areas: geotechnical, geoenvironmental, environmental, transportation and hydraulic engineering, and other ground-related areas, such as mining engineering, agriculture, aquaculture and waste management. The journal focuses on the needs of developing economies especially with regard to the environmental sustainability aspects of ground engineering.        "
139,International Journal of Ventilation,"      This is a peer reviewed journal aimed at providing the latest information on research and application.Topics include:• New ideas concerned with the development or application of ventilation;• Validated case studies demonstrating the performance of ventilation strategies;• Information on needs and solutions for specific building types including: offices, dwellings, schools, hospitals, parking garages, urban buildings and recreational buildings etc;• Developments in numerical methods;• Measurement techniques;• Related issues in which the impact of ventilation plays an important role (e.g. the interaction of ventilation with air quality, health and comfort);• Energy issues related to ventilation (e.g. low energy systems, ventilation heating and cooling loss);• Driving forces (weather data, fan performance etc).        "
140,International Journal of Low-Carbon Technologies,"      The International Journal of Low-Carbon Technologies is a quarterly publication concerned with the challenge of climate change and its effects on the built environment and sustainability. The Journal publishes original, quality research papers on issues of climate change, sustainable development and the built environment related to architecture, building services engineering, civil engineering, building engineering, urban design and other disciplines. It features in-depth articles, technical notes, review papers, book reviews and special issues devoted to international conferences. The journal encourages submissions related to interdisciplinary research in the built environment. The journal is available in paper and electronic formats. All articles are peer-reviewed by leading experts in the field.        "
141,International Journal of Steel Structures,"      The International Journal of Steel Structures provides an international forum for a broad classification of technical papers in steel structural research and its applications. The journal aims to reach not only researchers, but also practicing engineers. Coverage encompasses such topics as stability, fatigue, non-linear behavior, dynamics, reliability, fire, design codes, computer-aided analysis and design, optimization, expert systems, connections, fabrications, maintenance, bridges, off-shore structures, jetties, stadiums, transmission towers, marine vessels, storage tanks, pressure vessels, aerospace, and pipelines and more.        "
142,Construction Innovation,"      Construction Innovation is an international journal that publishes high quality research papers to advance innovation in construction sustainability, productivity, safety, quality, design, material, process, management, maintenance, informatics, communication, decision and practice. Emerging topics published in Construction Innovation include:-Low carbon / energy efficient design, construction and material-Life cycle assessment and energy simulation -Smart city and urban informatics-Ubiquitous computing and smart sensor -Big data analytics and cloud computing -Open data and social media-Building information modeling and virtual prototyping-Drone, laser scanning and image recognition-3-D printing and additive construction-Geographic information system-Robotics and automation-Agile manufacturing and lean construction-Design / process optimization and buildability-Intelligent system and decision model-Machine learning, data mining and semantics-Knowledge management and representation        "
143,ISH Journal of Hydraulic Engineering,"      ISH Journal of Hydraulic Engineering publishes original research works in the areas of hydraulic engineering, water resources, hydrology, environmental engineering, coastal and ocean engineering, oceanography and earth sciences. Theoretical, experimental, computational or field oriented studies leading to advancement of knowledge in these areas are especially welcome. Submissions must report the development of a new technology or an innovative application of an existing one; this could be a new discovery or insight into the existing understanding of a phenomenon. Case studies leading to significantly new knowledge or understanding are also encouraged.         "
144,Steel Construction,"      Steel Construction publishes peerreviewed papers covering the entire field of steel construction research. In the interests of ""construction without depletion"", it skilfully combines steel with other forms of construction employing concrete, glass, cables and membranes to form integrated steelwork systems. Since 2010 Steel Construction is the official journal for ECCS- European Convention for Constructional Steelwork members. You will find more information about membership on the ECCS homepage.Topics include:-Design and construction of structures-Methods of analysis and calculation-Experimental and theoretical research projects and results-Composite construction-Steel buildings and bridges-Cable and membrane structures-Structural glazing-Masts and towers-Vessels, cranes and hydraulic engineering structures-Fire protection-Lightweight structures        "
145,Heron,"      HERON provides a national and international forum for the dissemination of research and developments in the field of structural mechanics, construction and building materials and their application in new structures, repair practice and maintenance. The journal provides a wide range of research and application papers which describe laboratory and numerical investigations or report on full scale projects. The materials covered include: concrete, steel, timber, masonry, cement, ceramics, composites and recycled materials. The scope of structures include: bridges, high-rise buildings, highway pavements, housing, tunnels and water containment structures.        "
146,Tumu Gongcheng Xuebao/China Civil Engineering Journal,      《土木工程学报》是中华人民共和国住房和城乡建设部主管、中国土木工程学会主办的土木工程综合性学术期刊，以土木工程界中、高级工程技术人员为主要读者对象。主要报道土木工程各专业领域的发展综述，重大土木工程实录，建筑结构、桥梁结构、岩土力学及地基基础、隧道及地下结构、道路及交通工程、建设管理等专业在科研、设计、施工方面的重要成果及发展状况，同时也刊登建筑材料、港口、水利、市政、计算机应用、力学、防灾减灾等专业中与上述学科交叉或有密切联系的论文报告。本刊办刊宗旨为促进国内外土木工程界的学术交流。        
147,"Journal of Environmental Engineering, ASCE","      The Journal of Environmental Engineering presents broad interdisciplinary information on the practice and status of research in environmental engineering science, systems engineering, and sanitation. Papers focus on design, development of engineering methods, management, governmental policies, and societal impacts of wastewater collection and treatment; the fate and transport of contaminants on watersheds, in surface waters, in groundwater, in soil, and in the atmosphere; environmental biology, microbiology, chemistry, fluid mechanics, and physical processes that control natural concentrations and dispersion of wastes in air, water, and soil; nonpoint-source pollution on watersheds, in streams, in groundwater, in lakes, and in estuaries and coastal areas; treatment, management, and control of hazardous wastes; control and monitoring of air pollution and acid deposition; airshed management; and design and management of solid waste facilities. A balanced contribution from consultants, practicing engineers, and researchers is sought on engineering solutions, and professional obligations and responsibilities.        "
148,Advanced Steel Construction,"      The International Journal of Advanced Steel Construction provides a platform for the publication and rapid dissemination of original and up-to-date research and technological developments in steel construction, design and analysis. Scope of research papers published in this journal includes but is not limited to theoretical and experimental research on elements, assemblages, systems, material, design philosophy and codification, standards, fabrication, projects of innovative nature and computer techniques. The journal is specifically tailored to channel the exchange of technological know-how between researchers and practitioners. Contributions from all aspects related to the recent developments of advanced steel construction are welcome.        "
149,Coupled Systems Mechanics,"      Coupled Systems Mechanics (CSM), an International Journal, aims at opening a new access to the valuable source of information and providing an excellent publication channel for the global community of Coupled Systems Mechanics. The areas covered by CSM journal include the current advances in Interactions (or Coupled Mechanics) of * Fluid-Structures, * Soil-Structure, * Wind-Structure, * Soil-Foundation-Pile-Structures, * Vehicle-Bridge, and * Train-Rail.        "
150,Journal of Information Technology in Construction,"      The aim is to report on academic research and innovative industrial development work concerning the application of information technology throughout the life-cycle of the design, construction and occupancy of buildings and related facilities. The focus is on presenting research results dealing with or having relevance across disciplines and/or life-cycle stages. There are other, existing journals addressing specialised analysis, synthesis or optimisation methods particular to design or construction tasks within the individual subdisciples of construction.In the following list some major topics which the journal aims to cover are mentioned:IT strategies within organisations and groups, ranging from the level of the individual firm to a consortium of firms to national construction industries.Construction process and enterprise modellingReengineering of the construction process using IT as an enabling technologyMethods of concurrent engineeringIT-supported communication across or within disciplines and life cycle stages (hypermedia, Internet, videoconferencing etc.)Databases, translation methodologies, remote communication between programs, shared object libraries and other computing techniques for data exchange and sharingTechnologies and standards for the digital representation of buildings (building product models)Standards for structuring and exchanging data in the construction process (building classification systems, EDI messages, CAD-layering, document management, representation of building regulations, component libraries)The use of IT-based techniques for problem solving in construction (expert systems and AI, case-based reasoning, simulation, neural networks, the genetic algoritm et.c.).Computerization of building standards, codes and regulations.Distance learning of IT in civil engineering using IT itself.        "
151,Infrastructures,"      The scope of Infrastructures includes applications in road, railway, coastal, airport, and energy infrastructures, and encompasses the following:•	Construction technology, maintenance, retrofitting, and management of constructed facilities.•	Construction materials.•	Analysis of transportation networks, logistics, supply chains, management of transport systems, intelligent transportation systems, safety, mobility, and environmental concerns.•	Structural design, structural control, health monitoring and prediction, non-destructive technologies, inspection, structural reliability / stability, life cycle assessment and updating, optimization, and integrity.•	Pavement engineering.•	Railway engineering.•	Bridge engineering.•	Tunnel engineering.•	Dam engineering.•	Port and marine engineering.•	Geotechnical engineering.•	Survey engineering.•	Computers in civil engineering.•	Smart infrastructures.•	Sustainable infrastructures.•	Aging infrastructures.•	Adaptation to climate change, extreme events, and hazards and hazards mitigation.•	Financial planning.        "
152,Journal of Low Frequency Noise Vibration and Active Control,"      Journal of Low Frequency Noise, Vibration & Active Control is a peer-reviewed, open access journal, bringing together material on:• sources of infrasound and low frequency noise and vibration: detection, measurement and analysis;• propagation of infrasound and low frequency noise in the atmosphere;• propagation of vibration in the ground and in structures;• perception of infrasound, low frequency noise and vibration by man and animals;• effects on man and animals;• interaction of low frequency noise and vibration: vibrations caused by noise, radiation of noise from vibrating structures;• low frequency noise and vibration control: problems and solutions.The journal operates a conventional single-blind reviewing policy in which the reviewer’s name is always concealed from the authors.        "
153,Shock and Vibration,"      Shock and Vibration publishes papers on all aspects of shock and vibration, especially in relation to civil, mechanical and aerospace engineering applications, as well as transport, materials and geoscience. Papers may be theoretical or experimental, and either fundamental or highly applied.        "
154,Curved and Layered Structures,"      The aim of Curved and Layered Structures is to become a premier source of knowledge and a worldwide-recognized platform of research and knowledge exchange for scientists of different disciplinary origins and backgrounds (e.g., civil, mechanical, marine, aerospace engineers and architects). The journal publishes research papers from a broad range of topics and approaches including structural mechanics, computational mechanics, engineering structures, architectural design, wind engineering, aerospace engineering, naval engineering, structural stability, structural dynamics, structural stability/reliability, experimental modeling and smart structures. Therefore, the Journal accepts both theoretical and applied contributions in all subfields of structural mechanics as long as they contribute in a broad sense to the core theme.        "
155,Journal of Architectural Engineering,"      The Journal of Architectural Engineering is a multidisciplinary forum for dissemination of research- based engineering and technical information related to all aspects of building engineering design in the form of peer-reviewed technical papers, technical notes, and case studies. The scope of the journal’s topics include; acoustics, construction, construction management, controls, electrical engineering and systems, indoor environmental quality, lighting and daylighting, mechanical engineering and systems, rehabilitation of existing structures, structural assessment, structural engineering, and sustainable construction/design, in the context of building systems engineering. Innovative and multi-disciplinary studies promoting an integrated approach to planning, design, construction and operation of buildings are especially encouraged. The journal also welcomes papers on the topic of architectural engineering education.        "
156,International Journal of Offshore and Polar Engineering,"      The primary aim of the IJOPE is to serve engineers and researchers worldwide by disseminating technical information of permanent interest in the fields of offshore, ocean, polar energy/resources and materials engineering. The IJOPE is the principal periodical of The International Society of Offshore and Polar Engineers (ISOPE), which is very active in the dissemination of technical information and organization of symposia and conferences in these fields throughout the world.Theoretical, experimental and engineering research papers are welcome. Brief reports of research results or outstanding engineering achievements of likely interest to readers will be published in the Technical Notes format.        "
157,Journal of Facade Design and Engineering,"      The Journal of Facade Design and Engineering presents new research results and new proven practice in the field of facade design and engineering. The goal is to improve building technologies, as well as process management and architectural design.This journal is a valuable resource for professionals and academics involved in the design and engineering of building envelopes, including the following disciplines:ArchitectureFaçade EngineeringClimate DesignBuilding Services IntegrationBuilding PhysicsFaçade Design and Construction ManagementNovel Material Applications.The journal will be directed at the scientific community, but it will also feature papers that focus on the dissemination of science into practice and industrial innovations. In this way, readers explore the interaction between scientific developments, technical considerations and management issues.        "
158,Periodica Polytechnica: Civil Engineering,"      The main scope of the journal is to publish original research articles in the wide field of civil engineering, including geodesy and surveying, construction materials and engineering geology, photogrammetry and geoinformatics, geotechnics, structural engineering, architectural engineering, structural mechanics, highway and railway engineering, hydraulic and water resources engineering, sanitary and environmental engineering, engineering optimisation and history of civil engineering. The journal is abstracted by several international databases, see the main page.The strict peer reviewing and editing process is very short, the publication may appear in average within 3-4 months in the journal’s “Online First” page after submission of the manuscript. The journal is electronically published, and a few copies are printed and sent to main libraries in the world.This is a diamond open access journal: publishing and downloading articles are both free of charge. The journal does not charge authors any article processing charges (APCs), submission, or publication fees. Users have the right to read, download, copy, distribute, print, search, or link to the full text of these articles.        "
159,Survey Review,"      Survey Review is an international journal that has been published since 1931, until recently under the auspices of the Commonwealth Association of Surveying and Land Economy (CASLE). The journal is now published for Survey Review Ltd and brings together research, theory and practice of positioning and measurement, engineering surveying, cadastre and land management, and spatial information management.All papers are peer reviewed and are drawn from an international community, including government, private industry and academia. Survey Review is invaluable to practitioners, academics, researchers and students who are anxious to maintain their currency of knowledge in a rapidly developing field.        "
160,Australian Journal of Structural Engineering,"      The  Australian Journal of Structural Engineering (AJSE) is published under the auspices of the Structural College Board of Engineers Australia. It fulfils part of the Board's mission for Continuing Professional Development. The journal also offers a means for exchange and interaction of scientific and professional issues and technical developments. The journal is open to members and non-members of Engineers Australia.Original papers on research and development (Technical Papers) and professional matters and achievements (Professional Papers) in all areas relevant to the science, art and practice of structural engineering are considered for possible publication. All papers and technical notes are peer-reviewed. The fundamental criterion for acceptance for publication is the intellectual and professional value of the contribution.Occasionally, papers previously published in essentially the same form elsewhere may be considered for publication. In this case acknowledgement to prior publication must be included in a footnote on page one of the manuscript. These papers are peer-reviewed as new submissions.The length of acceptable contributions typically should not exceed 4,000 to 5,000 word equivalents. Longer manuscripts may be considered at the discretion of the Editor. Technical Notes typically should not exceed about 1,000 word equivalents.Discussions on a Paper or Note published in the AJSE are welcomed. Discussions must address significant matters related to the content of a Paper or Technical Note and may include supplementary and critical comments and questions regarding content.        "
161,Proceedings of the Institution of Civil Engineers: Structures and Buildings,"      Structures and Buildings publishes peer-reviewed papers on the design and construction of civil engineering structures and the applied research associated with such activities. Topics include the design, strength, durability and behaviour of structural components and systems.Topics covered: energy conservation, people movement within and around buildings, strength and durability of steel and concrete structural components, and the behaviour of building and bridge components and systems        "
162,Magazine of Civil Engineering,"      Magazine of Civil Engineering (ISSN: 2071-0305) is a peer-reviewed open-access scientific  journal in the field of Civil and Construction Engineering.  The aim of the journal is to publish articles of a high scientific level. Magazine of Civil Engineering publishes original papers with international importance. Thematic areas covered in the journal:-Building constructions, buildings and structures;;-Grounds and foundations, underground structures;-Heat supply, ventilation, air conditioning, gas supply and lighting;-Water supply, sewerage, construction systems of water resources protection;-Building products and construction materials;-Hydraulic engineering;-Design and construction of roads, subways, airfields, bridges and transport tunnels;-Hydraulics and Engineering Hydrology;-Structural mechanics;-Fire safety in construction.        "
163,Innovative Infrastructure Solutions,"      The journal aims to present innovative studies serving the general disciplines of geotechnical engineering and sustainable civil infrastructures, in addition to non-geotechnical fields. It also has a special intention to help worldwide countries to develop their existing and new infrastructures in terms of mitigating and adapting to climate change. Researchers and engineers from all over the world are also invited to submit their contributions and to transfer their knowledge. The journal accepts Technical Notes, Technical Papers, and State-of-the-Art Papers. Theoretical papers are also welcome, but there should be a clear and significant potential for practical application of the theory. Practice-oriented papers and case studies are particularly welcomed and encouraged.        "
164,Transportation Infrastructure Geotechnology,"      Transportation Infrastructure Geotechnology provides a state-of-the-science profile of new developments in transportation-related geotechnology from around the world. The Journal covers all types of transportation infrastructure, including bridges, retaining walls, roads, highways, railways, tunnels, culverts, seaports, airports, and related installations. Rigorously-reviewed research papers and reviews in the Journal address a broad range of subjects such as geotechnical design, construction and maintenance of transportation infrastructures, earthworks for transportation facilities, geomaterials and recycled materials; geotechnics for pavements, rail track, and airfield; geosynthetics and applications, sustainability, performance evaluation, rehabilitation, risk assessment and environmental issues. The Journal publishes original research articles and reviews.         "
165,Journal of Energy Engineering - ASCE,"      The Journal of Energy Engineering reports on the scientific and engineering knowledge in the planning, development, management, and finances of energy-related programs. The journal is dedicated to civil engineering aspects of the issues, sources, and programs that are either directly related to, or can ultimately contribute to, the production, distribution, and storage of energy. Multidisciplinary subjects are especially encouraged.Original contributions are encouraged in, but not limited to, the following areas: generation of electric power; nuclear power issues; energy planning (planning for generation capacity expansions, hydropower planning, network and transmission planning, reliability); energy policy and economics (financial and customer markets, regulatory and financial issues); energy development (solar power, renewable energy, waste-to-energy systems); energy systems operation (thermal and hydropower operation and optimization, scheduling, load forecasting, demand-side management); energy efficiency, reducing consumption of or conservation of energy; energy sustainability as related to energy and power production, distribution, and usage; waste management and environmental issues; and energy infrastructure issues (power plant safety, security of infrastructure network).        "
166,International Journal of Space Structures,"      International Journal of Space Structures is a peer-reviewed journal, with the aim to provide an international forum for the interchange of information on all aspects of analysis, design and construction of space structures.The scope of the journal encompasses structures such as single-, double- and multi-layer grids, barrel vaults, domes, towers, folded plates, radar dishes, tensegrity structures, stressed skin assemblies, foldable structures, pneumatic systems and cable arrangements. No limitation on the type of material is imposed and the scope includes structures constructed in steel, aluminium, timber, concrete, plastics, paperboard and fabric.The journal aims at striking a balance between theory and practice and creating a platform for exchange of information between structural engineers, architects, civil engineering contractors, system manufacturers and research workers in academic and non-academic establishments.The journal includes regular reviews of technical publications, books and trade literature. Also included is information on recently built important space structures, recently held conferences and forthcoming events of interest.        "
167,International Journal of Dynamics and Control,"      The Journal publishes original research and review articles reporting on theoretical, numerical and experimental works that advance the knowledge of linear and nonlinear dynamic systems and their control.  Topics include modeling, analysis, solution techniques, control strategies, and experimental investigation of mechanical, civil, electrical, electronic, coupled electro-mechanical, and biological systems with complex dynamic characteristics.        "
168,International Journal of Building Pathology and Adaptation,"      The International Journal of Building Pathology and Adaptation publishes findings on contemporary and original research towards sustaining, maintaining and managing existing buildings. The journal provides an interdisciplinary approach to the study of buildings, their performance and adaptation in order to develop appropriate technical and management solutions. This requires an holistic understanding of the complex interactions between the materials, components, occupants, design and environment, demanding the application and development of methodologies for diagnosis, prognosis and treatment in this multidisciplinary area. With rapid technological developments, a changing climate and more extreme weather, coupled with developing societal demands, the challenges to the professions responsible are complex and varied; solutions need to be rigorously researched and tested to navigate the dynamic context in which today's buildings are to be sustained.Within this context, the scope and coverage of the journal incorporates the following indicative topics:•	Behavioural and human responses•	Building defects and prognosis•	Building adaptation and retrofit•	Building conservation and restoration•	Building Information Modelling (BIM)•	Building and planning regulations and legislation•	Building technology•	Conflict avoidance, management and disputes resolution•	Digital information and communication technologies•	Education and training•	Environmental performance•	Energy management•	Health, safety and welfare issues•	Healthy enclosures•	Innovations and innovative technologies•	Law and practice of dilapidation •	Maintenance and refurbishment •	Materials testing•	Policy formulation and development•	Project management•	Resilience•	Structural considerations•	Surveying methodologies and techniques•	Sustainability and climate change•	Valuation and financial investment        "
169,Latin American Journal of Solids and Structures,
170,Proceedings of the Institution of Civil Engineers: Bridge Engineering,"      Bridge Engineering has established itself as one of the leading peer-review publications covering developments in bridge engineering. Topics covered include the design, construction, maintenance, management, monitoring and upgrading of all types of bridge structures. State-of-the-art papers, reviews of current methodologies and systems, project case studies, historical papers and shorter briefing papers are all welcomed.        "
171,Civil Engineering and Environmental Systems,"      Civil Engineering and Environmental Systems is devoted to the advancement of systems thinking and systems techniques throughout systems engineering, environmental engineering decision-making, and engineering management. We do this by publishing the practical applications and developments of ""hard"" and ""soft"" systems techniques and thinking.Submissions that allow for better analysis of civil engineering and environmental systems might look at:-Civil Engineering optimization-Risk assessment in engineering-Civil engineering decision analysis-System identification in engineering-Civil engineering numerical simulation-Uncertainty modelling in engineering-Qualitative modelling of complex engineering systems        "
172,Transportation Research Interdisciplinary Perspectives,
173,Jianzhu Jiegou Xuebao/Journal of Building Structures,      《建筑结构学报》是由中国科学技术协会主管、中国建筑学会主办的学术性期刊，创刊于1980年，2010年起为月刊，大16开，176页，至2017年已出版了38卷。      本刊以学术交流为宗旨，以基础理论与创新实践为报道重点，刊载和交流建筑结构领域代表中国学术水平的最新研究成果，反映学科发展动态和趋势，推动国内外学术交流。主要刊登建筑结构、消能减振、地基基础等方面的基础理论研究、应用研究和科学试验技术的学术论文及最新研究进展。        
174,Advances in Civil Engineering,"      Advances in Civil Engineering publishes papers in all areas of civil engineering. The journal welcomes submissions across a range of disciplines, and publishes both theoretical and practical studies. Contributions from academia and from industry are equally encouraged.Subject areas include (but are by no means limited to):-Structural mechanics and engineering-Structural design and construction management-Structural analysis and computational mechanics-Construction technology and implementation-Construction materials design and engineering-Highway and transport engineering-Bridge and tunnel engineering-Municipal and urban engineering-Coastal, harbour and offshore engineering--Geotechnical and earthquake engineeringEngineering for water, waste, energy, and environmental applications-Hydraulic engineering and fluid mechanics-Surveying, monitoring, and control systems in construction-Health and safety in a civil engineering setting.Advances in Civil Engineering also publishes focused review articles that examine the state of the art, identify emerging trends, and suggest future directions for developing fields.        "
175,Journal of Legal Affairs and Dispute Resolution in Engineering and Construction,"      The Journal of Legal Affairs and Dispute Resolution in Engineering and Construction adheres to the same submission guidelines used by other ASCE journals, with some content and style policies tailored to accommodate the specific subject matter. Click here for details.The mission of the Journal is to serve as the technical reference and resource for construction lawyers engaged in public and private practice, as well as for design engineers, construction engineers, and executives responsible for successful project administration.The Journal provides thought-provoking discussions and insight into the legal relationships arising out of the changing nature of project delivery systems, dispute avoidance and resolution, sustainability concerns, and effective project execution. The Journal will focus on legal issues, aim to increase the attention given to legal systems during engineering and construction practice, and seek excellence in the application of legal resources for the success of engineering and construction projects.The Journal accepts papers and articles spanning legal issues and litigation pertaining to all areas of engineering and construction, including contract law and interpretation; professional liability and negligence; public bidding law and regulation; negotiation, mediation, arbitration, and alternative dispute-resolution systems; tort and insurance law; workers' compensation; environmental law and compliance; sustainability and climate change; acts and statutes governing design and construction of public or private projects; state and federal hazardous waste law; maritime, coastal, and ocean law; real estate development and construction law; product liability; labor and employment law; administrative law; government contracts; corporate and bankruptcy law and regulation; claims analysis [...]        "
176,Applied Computational Intelligence and Soft Computing,"      Applied Computational Intelligence and Soft Computing will focus on the disciplines of computer science, engineering, and mathematics. The scope of the journal includes developing applications related to all aspects of natural and social sciences by employing the technologies of computational intelligence and soft computing. The new applications of using computational intelligence and soft computing are still in development. Although computational intelligence and soft computing are established fields, the new applications of using computational intelligence and soft computing can be regarded as an emerging field, which is the focus of this journal.        "
177,Smart and Sustainable Built Environment,"      The world has never been exposed to such a paradigm shift prior to the emerging industry 4.0 revolution – the governing foundations for shaping and delivering progressive changes for addressing issues embracing Society, Knowledge, Economy, and People. Scientific advances and innovative technologies in Architecture, Engineering, Construction are key factors in this process, the tenets of which can help the countries move towards developing smarter, and more sustainable communities. In this respect, the nine pillars supporting Industry 4.0 are widely accepted by the research and practice communities to include: the integration of Virtual/Augmented / Mixed Reality (XR=VR/AR/MR); where mainstream Building Information Management in particular is seen as a vehicle for addressing such issues as industry fragmentation, value-driven solutions, decision making, client engagement, and design/process flow to name but a few. Advanced Simulation, Computer Vision, Internet of Things (IoT), Blockchain, Machine Learning, Deep Learning, and Linked Data all provide immense opportunities for dealing with these challenges; more importantly perhaps, provide real tangible (evidenced-based) innovative solutions that until now, have never been possible before. These technologies are perceived as the ‘true’ enablers of future practice. Exemplars from other industries such as automotive, aerospace and oil and gas have provided showcase solutions using advanced technologies. However, until only relatively recently, AEC has only just started to recognise terms such as “golden key” and “golden thread” as part of BIM processes and workflows.        "
178,Structural Monitoring and Maintenance,"      The Structural Monitoring and Maintenance, An International Journal, aims at the valuable source of information and excellent publication channel for the global community of structural monitoring and maintenance of structures. The journal publishes the high quality papers within the journal scope:      ♦ Environmental loads and effects,      ♦ Spot/Periodic/Permanent/Online monitoring,      ♦ Identification/Diagnosis/Assessment/Decision analysis,      ♦ Design/Retrofit/Maintenance/Renewal/Risk management      ♦ and related areas of structural engineering.        "
179,Business: Theory and Practice,"      The journal provides a forum for original research articles and reviews that integrate economic development and globalization, interpretations and consequences of entrepreneurship, strategic management and organizational behaviour, theoretical questions and empirical questions of industrial organizations.The Journal publishes articles in the following fields of research:business environment;economic development and globalization;entrepreneurial finance;interpretations and consequences of entrepreneurship;strategic management;organizational behavior;theoretical questions and empirical questions of industrial organization;case studies.        "
